example wave
                                     -- fourier and inverse transforms --
    m    data      k    fourier transform : real-imag amp-phase    inverse transform

    0    5.000     0    -5.000     0.000       5.000    -0.000       5.000     0.000
    1   32.000     1     2.457    22.777      22.910     1.463      32.000    -0.000
    2   38.000     2    22.317    37.337      43.498     1.032      38.000    -0.000
    3  -33.000     3    47.912    38.312      61.346     0.675     -33.000     0.000
    4  -19.000     4    70.785    25.085      75.098     0.341     -19.000     0.000
    5  -10.000     5    83.819     1.987      83.842     0.024     -10.000     0.000
    6    1.000     6    83.982   -23.471      87.200    -0.273       1.000     0.000
    7   -8.000     7    73.467   -43.835      85.551    -0.538      -8.000    -0.000
    8  -20.000     8    58.447   -55.092      80.319    -0.756     -20.000    -0.000
    9   10.000     9    45.750   -58.497      74.263    -0.907      10.000     0.000
   10   -1.000    10    38.968   -59.630      71.234    -0.992      -1.000    -0.000
   11    0.000    11    36.167   -64.811      74.220    -1.062      -0.000     0.000
   12    0.000    12    30.860   -76.674      82.651    -1.188      -0.000    -0.000
   13    0.000    13    16.106   -91.580      92.985    -1.397       0.000     0.000
   14    0.000    14   -10.392  -100.855     101.389     1.468       0.000    -0.000
   15    0.000    15   -43.434   -95.684     105.081     1.145      -0.000    -0.000
   16    0.000    16   -72.000   -73.000     102.533     0.792       0.000    -0.000
   17    0.000    17   -85.049   -38.583      93.391     0.426       0.000     0.000
   18    0.000    18   -78.224    -4.901      78.377     0.063      -0.000     0.000
   19    0.000    19   -57.126    15.607      59.220    -0.267      -0.000    -0.000
   20    0.000    20   -34.600    17.895      38.953    -0.477       0.000     0.000
   21    0.000    21   -23.213     7.556      24.412    -0.315       0.000    -0.000
   22    0.000    22   -27.486    -2.546      27.604     0.092      -0.000     0.000
   23    0.000    23   -40.980    -0.474      40.983     0.012      -0.000     0.000
   24    0.000    24   -50.447    16.908      53.205    -0.323       0.000     0.000
   25    0.000    25   -44.592    41.673      61.033    -0.752      -0.000     0.000
   26    0.000    26   -21.724    59.874      63.693    -1.223       0.000    -0.000
   27    0.000    27     8.879    60.708      61.353     1.426       0.000     0.000
   28    0.000    28    32.955    43.654      54.696     0.924       0.000     0.000
   29    0.000    29    40.594    18.715      44.700     0.432      -0.000     0.000
   30    0.000    30    32.558    -0.449      32.562    -0.014       0.000    -0.000
   31    0.000    31    19.242    -5.774      20.090    -0.292      -0.000     0.000
   32    0.000    32    13.000     0.000      13.000     0.000       0.000    -0.000
   33    0.000    33    19.242     5.774      20.090     0.292       0.000     0.000
   34    0.000    34    32.558     0.449      32.562     0.014       0.000     0.000
   35    0.000    35    40.594   -18.715      44.700    -0.432       0.000    -0.000
   36    0.000    36    32.955   -43.654      54.696    -0.924       0.000     0.000
   37    0.000    37     8.879   -60.708      61.354    -1.426       0.000     0.000
   38    0.000    38   -21.724   -59.874      63.693     1.223       0.000    -0.000
   39    0.000    39   -44.592   -41.673      61.033     0.752       0.000    -0.000
   40    0.000    40   -50.447   -16.908      53.205     0.323       0.000     0.000
   41    0.000    41   -40.980     0.474      40.983    -0.012      -0.000     0.000
   42    0.000    42   -27.486     2.546      27.604    -0.092       0.000    -0.000
   43    0.000    43   -23.213    -7.556      24.412     0.315       0.000     0.000
   44    0.000    44   -34.600   -17.895      38.953     0.477      -0.000     0.000
   45    0.000    45   -57.126   -15.607      59.220     0.267       0.000     0.000
   46    0.000    46   -78.224     4.901      78.377    -0.063      -0.000     0.000
   47    0.000    47   -85.049    38.583      93.391    -0.426       0.000     0.000
   48    0.000    48   -72.000    73.000     102.533    -0.792       0.000    -0.000
   49    0.000    49   -43.434    95.684     105.081    -1.145       0.000    -0.000
   50    0.000    50   -10.392   100.855     101.389    -1.468       0.000    -0.000
   51    0.000    51    16.106    91.580      92.985     1.397       0.000    -0.000
   52    0.000    52    30.860    76.674      82.651     1.188       0.000    -0.000
   53    0.000    53    36.168    64.811      74.220     1.062       0.000     0.000
   54    0.000    54    38.968    59.630      71.234     0.992      -0.000    -0.000
   55    0.000    55    45.750    58.497      74.263     0.907       0.000    -0.000
   56    0.000    56    58.447    55.092      80.319     0.756       0.000    -0.000
   57    0.000    57    73.467    43.835      85.551     0.538       0.000    -0.000
   58    0.000    58    83.982    23.471      87.200     0.273      -0.000     0.000
   59    0.000    59    83.819    -1.987      83.842    -0.024       0.000    -0.000
   60    0.000    60    70.785   -25.085      75.098    -0.341      -0.000    -0.000
   61    0.000    61    47.912   -38.312      61.346    -0.675       0.000     0.000
   62    0.000    62    22.317   -37.337      43.498    -1.032       0.000     0.000
   63    0.000    63     2.457   -22.777      22.910    -1.463      -0.000     0.000

     analytic function
       m     real       imag       amp     phase
      48     0.000     0.000     0.000       NaN
      49     0.000     0.000     0.000       NaN
      50     0.000     0.000     0.000       NaN
      51     0.000     0.000     0.000       NaN
      52     0.000     0.000     0.000       NaN
      53     0.000     0.000     0.000       NaN
      54     0.000     0.000     0.000       NaN
      55     0.000     0.000     0.000       NaN
      56     0.000     0.000     0.000       NaN
      57     0.000     0.000     0.000       NaN
      58     0.000     0.000     0.000       NaN
      59     0.000     0.000     0.000       NaN
      60     0.000     0.000     0.000       NaN
      61     0.000     0.000     0.000       NaN
      62     0.000     0.000     0.000       NaN
      63     0.000     0.000     0.000       NaN

     white spectrum ifft
       m     real       imag       amp     phase

       0     0.055    -0.043     0.035   -37.776
       1     0.316    -0.228     0.195   -35.783
       2     0.583     0.621     0.426    46.792
       3    -0.575     0.555     0.400   -43.992
       4    -0.130    -0.145     0.098    48.134
       5    -0.208     0.189     0.140   -42.234
       6    -0.066    -0.143     0.079    65.179
       7    -0.114     0.226     0.127   -63.318
       8    -0.254    -0.179     0.155    35.175
       9     0.059    -0.027     0.032   -24.174
      10    -0.112     0.003     0.056    -1.736
      11    -0.046    -0.037     0.029    38.887
      12    -0.047    -0.033     0.028    34.870
      13    -0.039     0.002     0.020    -3.484
      14    -0.064    -0.041     0.038    32.525
      15    -0.018    -0.020     0.014    48.365
      16    -0.045    -0.018     0.024    22.109
      17    -0.032    -0.023     0.020    35.714
      18    -0.029    -0.026     0.019    41.309
      19    -0.027    -0.013     0.015    25.655
      20    -0.033    -0.026     0.021    38.771
      21    -0.020    -0.019     0.014    44.001
      22    -0.027    -0.018     0.016    33.778
      23    -0.022    -0.021     0.015    43.456
      24    -0.020    -0.018     0.014    42.983
      25    -0.021    -0.018     0.014    40.537
      26    -0.020    -0.019     0.014    43.422
      27    -0.016    -0.019     0.013    50.097
      28    -0.018    -0.014     0.011    36.837
      29    -0.016    -0.023     0.014    54.184
      30    -0.013    -0.011     0.009    41.452
      31    -0.017    -0.021     0.013    50.004
      32    -0.012    -0.013     0.009    48.094
      33    -0.012    -0.020     0.012    58.183
      34    -0.013    -0.008     0.008    31.598
      35    -0.012    -0.026     0.014    65.338
      36    -0.006    -0.003     0.004    28.526
      37    -0.016    -0.023     0.014    55.091
      38    -0.004    -0.008     0.005    62.118
      39    -0.009    -0.021     0.011    66.957
      40    -0.010    -0.001     0.005     8.218
      41    -0.008    -0.032     0.016    75.535
      42     0.002     0.007     0.004    73.491
      43    -0.019    -0.027     0.016    54.861
      44     0.004    -0.005     0.003   -48.314
      45    -0.005    -0.020     0.010    77.524
      46    -0.008     0.007     0.005   -41.142
      47    -0.004    -0.042     0.021    84.295
      48     0.015     0.022     0.013    55.201
      49    -0.028    -0.030     0.021    47.545
      50     0.018    -0.006     0.009   -18.478
      51     0.002    -0.018     0.009   -83.555
      52    -0.007     0.017     0.009   -68.435
      53     0.003    -0.061     0.030   -86.981
      54     0.041     0.049     0.032    49.902
      55    -0.053    -0.032     0.031    30.723
      56     0.040    -0.019     0.022   -25.748
      57     0.015    -0.015     0.010   -44.256
      58    -0.003     0.024     0.012   -83.860
      59     0.033    -0.101     0.053   -71.744
      60     0.116     0.124     0.085    46.868
      61    -0.133    -0.004     0.067     1.742
      62     0.065    -0.075     0.050   -48.895
      63     0.041    -0.033     0.026   -39.003

     white spectrum ifft-fft
       m     real       imag     amp

       0    -0.500     0.000     0.500
       1     0.107     0.994     1.000
       2     0.513     0.858     1.000
       3     0.781     0.625     1.000
       4     0.943     0.334     1.000
       5     1.000     0.024     1.000
       6     0.963    -0.269     1.000
       7     0.859    -0.512     1.000
       8     0.728    -0.686     1.000
       9     0.616    -0.788     1.000
      10     0.547    -0.837     1.000
      11     0.487    -0.873     1.000
      12     0.373    -0.928     1.000
      13     0.173    -0.985     1.000
      14    -0.102    -0.995     1.000
      15    -0.413    -0.911     1.000
      16    -0.702    -0.712     1.000
      17    -0.911    -0.413     1.000
      18    -0.998    -0.063     1.000
      19    -0.965     0.264     1.000
      20    -0.888     0.459     1.000
      21    -0.951     0.310     1.000
      22    -0.996    -0.092     1.000
      23    -1.000    -0.012     1.000
      24    -0.948     0.318     1.000
      25    -0.731     0.683     1.000
      26    -0.341     0.940     1.000
      27     0.145     0.989     1.000
      28     0.603     0.798     1.000
      29     0.908     0.419     1.000
      30     1.000    -0.014     1.000
      31     0.958    -0.287     1.000
      32     0.500     0.000     0.500
      33    -0.000    -0.000     0.000
      34    -0.000     0.000     0.000
      35     0.000     0.000     0.000
      36     0.000    -0.000     0.000
      37    -0.000     0.000     0.000
      38     0.000     0.000     0.000
      39    -0.000     0.000     0.000
      40     0.000     0.000     0.000
      41     0.000     0.000     0.000
      42     0.000     0.000     0.000
      43     0.000    -0.000     0.000
      44     0.000    -0.000     0.000
      45    -0.000     0.000     0.000
      46     0.000     0.000     0.000
      47    -0.000    -0.000     0.000
      48    -0.000    -0.000     0.000
      49     0.000     0.000     0.000
      50     0.000    -0.000     0.000
      51     0.000     0.000     0.000
      52     0.000    -0.000     0.000
      53     0.000    -0.000     0.000
      54     0.000     0.000     0.000
      55    -0.000     0.000     0.000
      56     0.000     0.000     0.000
      57     0.000     0.000     0.000
      58     0.000     0.000     0.000
      59     0.000     0.000     0.000
      60    -0.000     0.000     0.000
      61    -0.000     0.000     0.000
      62    -0.000    -0.000     0.000
      63    -0.000    -0.000     0.000

     sw-ifft-real-fft
       m     data     fourier transform     amp     phase

       0     0.055    -1.000     0.000     1.000    -0.000
       1     0.316     0.107     0.994     1.000    83.842
       2     0.583     0.513     0.858     1.000    59.132
       3    -0.575     0.781     0.625     1.000    38.647
       4    -0.130     0.943     0.334     1.000    19.514
       5    -0.208     1.000     0.024     1.000     1.358
       6    -0.066     0.963    -0.269     1.000   -15.614
       7    -0.114     0.859    -0.512     1.000   -30.823
       8    -0.254     0.728    -0.686     1.000   -43.307
       9     0.059     0.616    -0.788     1.000   -51.971
      10    -0.112     0.547    -0.837     1.000   -56.836
      11    -0.046     0.487    -0.873     1.000   -60.837
      12    -0.047     0.373    -0.928     1.000   -68.076
      13    -0.039     0.173    -0.985     1.000   -80.026
      14    -0.064    -0.102    -0.995     1.000    84.117
      15    -0.018    -0.413    -0.911     1.000    65.585
      16    -0.045    -0.702    -0.712     1.000    45.395
      17    -0.032    -0.911    -0.413     1.000    24.402
      18    -0.029    -0.998    -0.063     1.000     3.585
      19    -0.027    -0.965     0.264     1.000   -15.280
      20    -0.033    -0.888     0.459     1.000   -27.347
      21    -0.020    -0.951     0.310     1.000   -18.029
      22    -0.027    -0.996    -0.092     1.000     5.291
      23    -0.022    -1.000    -0.012     1.000     0.663
      24    -0.020    -0.948     0.318     1.000   -18.529
      25    -0.021    -0.731     0.683     1.000   -43.062
      26    -0.020    -0.341     0.940     1.000   -70.058
      27    -0.016     0.145     0.989     1.000    81.679
      28    -0.018     0.603     0.798     1.000    52.950
      29    -0.016     0.908     0.419     1.000    24.751
      30    -0.013     1.000    -0.014     1.000    -0.790
      31    -0.017     0.958    -0.287     1.000   -16.702
      32    -0.012     1.000     0.000     1.000     0.000
      33    -0.012     0.958     0.287     1.000    16.702
      34    -0.013     1.000     0.014     1.000     0.790
      35    -0.012     0.908    -0.419     1.000   -24.751
      36    -0.006     0.603    -0.798     1.000   -52.950
      37    -0.016     0.145    -0.989     1.000   -81.679
      38    -0.004    -0.341    -0.940     1.000    70.058
      39    -0.009    -0.731    -0.683     1.000    43.062
      40    -0.010    -0.948    -0.318     1.000    18.529
      41    -0.008    -1.000     0.012     1.000    -0.663
      42     0.002    -0.996     0.092     1.000    -5.291
      43    -0.019    -0.951    -0.310     1.000    18.029
      44     0.004    -0.888    -0.459     1.000    27.347
      45    -0.005    -0.965    -0.264     1.000    15.280
      46    -0.008    -0.998     0.063     1.000    -3.585
      47    -0.004    -0.911     0.413     1.000   -24.402
      48     0.015    -0.702     0.712     1.000   -45.395
      49    -0.028    -0.413     0.911     1.000   -65.585
      50     0.018    -0.102     0.995     1.000   -84.117
      51     0.002     0.173     0.985     1.000    80.026
      52    -0.007     0.373     0.928     1.000    68.076
      53     0.003     0.487     0.873     1.000    60.837
      54     0.041     0.547     0.837     1.000    56.836
      55    -0.053     0.616     0.788     1.000    51.971
      56     0.040     0.728     0.686     1.000    43.307
      57     0.015     0.859     0.512     1.000    30.823
      58    -0.003     0.963     0.269     1.000    15.614
      59     0.033     1.000    -0.024     1.000    -1.358
      60     0.116     0.943    -0.334     1.000   -19.514
      61    -0.133     0.781    -0.625     1.000   -38.647
      62     0.065     0.513    -0.858     1.000   -59.132
      63     0.041     0.107    -0.994     1.000   -83.842

     sw-ifft-data-fft
       m     data     fourier transform     amp     phase

       0     0.055    -0.446     0.000     0.446    -0.000
       1     0.316    -0.259     0.506     0.569   -62.860
       2     0.583     0.202     0.772     0.798    75.310
       3    -0.575     0.712     0.695     0.995    44.301
       4    -0.130     1.050     0.354     1.108    18.612
       5    -0.208     1.127    -0.063     1.128    -3.200
       6    -0.066     1.003    -0.386     1.075   -21.046
       7    -0.114     0.815    -0.556     0.987   -34.301
       8    -0.254     0.670    -0.624     0.915   -42.962
       9     0.059     0.587    -0.677     0.897   -49.067
      10    -0.112     0.522    -0.770     0.930   -55.861
      11     0.000     0.417    -0.893     0.986   -64.945
      12     0.000     0.252    -1.007     1.038   -75.968
      13     0.000     0.035    -1.079     1.079   -88.159
      14     0.000    -0.216    -1.088     1.110    78.796
      15     0.000    -0.482    -1.021     1.129    64.730
      16     0.000    -0.734    -0.857     1.128    49.402
      17     0.000    -0.918    -0.594     1.093    32.930
      18     0.000    -0.972    -0.279     1.011    16.037
      19     0.000    -0.881    -0.004     0.881     0.287
      20     0.000    -0.711     0.143     0.726   -11.364
      21     0.000    -0.583     0.153     0.603   -14.689
      22     0.000    -0.590     0.121     0.602   -11.607
      23     0.000    -0.711     0.193     0.737   -15.187
      24     0.000    -0.808     0.451     0.925   -29.204
      25     0.000    -0.709     0.834     1.094   -49.613
      26     0.000    -0.347     1.153     1.204   -73.240
      27     0.000     0.177     1.220     1.233    81.756
      28     0.000     0.646     0.983     1.176    56.708
      29     0.000     0.874     0.569     1.043    33.078
      30     0.000     0.836     0.196     0.859    13.207
      31     0.000     0.679     0.015     0.679     1.225
      32     0.000     0.597     0.000     0.597     0.000
      33     0.000     0.679    -0.015     0.679    -1.225
      34     0.000     0.836    -0.196     0.859   -13.207
      35     0.000     0.874    -0.569     1.043   -33.078
      36     0.000     0.646    -0.983     1.176   -56.708
      37     0.000     0.177    -1.220     1.233   -81.756
      38     0.000    -0.347    -1.153     1.204    73.240
      39     0.000    -0.709    -0.834     1.094    49.613
      40     0.000    -0.808    -0.451     0.925    29.204
      41     0.000    -0.711    -0.193     0.737    15.187
      42     0.000    -0.590    -0.121     0.602    11.607
      43     0.000    -0.583    -0.153     0.603    14.689
      44     0.000    -0.711    -0.143     0.726    11.364
      45     0.000    -0.881     0.004     0.881    -0.287
      46     0.000    -0.972     0.279     1.011   -16.037
      47     0.000    -0.918     0.594     1.093   -32.930
      48     0.000    -0.734     0.857     1.128   -49.402
      49     0.000    -0.482     1.021     1.129   -64.730
      50     0.000    -0.216     1.088     1.110   -78.796
      51     0.000     0.035     1.079     1.079    88.159
      52     0.000     0.252     1.007     1.038    75.968
      53     0.000     0.417     0.893     0.986    64.945
      54     0.000     0.522     0.770     0.930    55.861
      55     0.000     0.587     0.677     0.897    49.067
      56     0.000     0.670     0.624     0.915    42.962
      57     0.000     0.815     0.556     0.987    34.301
      58     0.000     1.003     0.386     1.075    21.046
      59     0.000     1.127     0.063     1.128     3.200
      60     0.000     1.050    -0.354     1.108   -18.612
      61     0.000     0.712    -0.695     0.995   -44.301
      62     0.000     0.202    -0.772     0.798   -75.310
      63     0.000    -0.259    -0.506     0.569    62.860
